# BL call targets, sorted by call count
# Total unique targets: 12908

0x0090534c called 15 times
0x006166e4 called 15 times
0x005f8464 called 15 times
0x00645534 called 15 times
0x00660e38 called 15 times
0x0069508c called 15 times
0x007ef844 called 15 times
0x0080a2fc called 15 times
0x00641218 called 15 times
0x00988efc called 15 times
0x004d1e98 called 15 times
0x009b73a4 called 15 times
0x009ded04 called 15 times
0x00a128b0 called 15 times
0x00a15c30 called 15 times
0x00c7acbc called 15 times
0x00a8913c called 15 times
0x00aa0a98 called 15 times
0x00d7ec18 called 15 times
0x00f5ee4c called 15 times
0x0047cfc4 called 14 times
0x0048c940 called 14 times
0x00495e14 called 14 times
0x00f97644 called 14 times
0x004da97c called 14 times
0x0050dda4 called 14 times
0x00515a5c called 14 times
0x005164cc called 14 times
0x004ebd78 called 14 times
0x0051eb9c called 14 times
0x0051ee7c called 14 times
0x00526834 called 14 times
0x0052cb00 called 14 times
0x0052daf8 called 14 times
0x0053478c called 14 times
0x004c8fbc called 14 times
0x0053f72c called 14 times
0x00540458 called 14 times
0x0054214c called 14 times
0x00546760 called 14 times
0x005515e4 called 14 times
0x00d8b938 called 14 times
0x005eca38 called 14 times
0x005ec540 called 14 times
0x005ec1f8 called 14 times
0x005ebec8 called 14 times
0x005b45b8 called 14 times
0x005b4504 called 14 times
0x005d8804 called 14 times
0x00f2b04c called 14 times
0x00675bcc called 14 times
0x005d33d4 called 14 times
0x007ee408 called 14 times
0x00810c6c called 14 times
0x0081385c called 14 times
0x0081f334 called 14 times
0x009fb56c called 14 times
0x00a1ea60 called 14 times
0x00a220a4 called 14 times
0x00a8bae0 called 14 times
0x00a99984 called 14 times
0x00ada130 called 14 times
0x00ada004 called 14 times
0x00cbf728 called 14 times
0x00f5d5ec called 13 times
0x004817d4 called 13 times
0x00952be0 called 13 times
0x00efc08c called 13 times
0x00492e74 called 13 times
0x00492f10 called 13 times
0x00493a0c called 13 times
0x00494f14 called 13 times
0x004a9638 called 13 times
0x004bb738 called 13 times
0x00f81f7c called 13 times
0x004c9a9c called 13 times
0x004c9f78 called 13 times
0x004d565c called 13 times
0x004edeb8 called 13 times
0x0052f75c called 13 times
0x005452f8 called 13 times
0x0054d81c called 13 times
0x005529bc called 13 times
0x0055e0fc called 13 times
0x00569074 called 13 times
0x00ea8550 called 13 times
0x00566b78 called 13 times
0x00591a0c called 13 times
0x00905e24 called 13 times
0x005f0744 called 13 times
0x00f81f04 called 13 times
0x00608a28 called 13 times
0x00653fb4 called 13 times
0x00660bf0 called 13 times
0x00679710 called 13 times
0x006793bc called 13 times
0x00803d08 called 13 times
0x00832bec called 13 times
0x0081fbe4 called 13 times
0x00880f00 called 13 times
0x008f3664 called 13 times
0x00926a7c called 13 times
0x0099dfac called 13 times
0x00c69d48 called 13 times
0x00aa4b64 called 13 times
0x0081f148 called 13 times
0x00f0d5d8 called 13 times
0x00da7540 called 13 times
0x00d6b83c called 12 times
0x0046edf0 called 12 times
0x0049ada8 called 12 times
0x004ac414 called 12 times
0x004bb90c called 12 times
0x005148fc called 12 times
0x004e9aac called 12 times
0x00c6b760 called 12 times
0x00f77894 called 12 times
0x0051a7b8 called 12 times
0x0051f15c called 12 times
0x00522458 called 12 times
0x00524ad0 called 12 times
0x0055496c called 12 times
0x00554894 called 12 times
0x005645fc called 12 times
0x00567a18 called 12 times
0x00570714 called 12 times
0x0057be10 called 12 times
0x0093ace8 called 12 times
0x00d7d854 called 12 times
0x00f22e2c called 12 times
0x00f2124c called 12 times
0x00592c34 called 12 times
0x00f817d0 called 12 times
0x008cb7a8 called 12 times
0x00c80c90 called 12 times
0x005d4810 called 12 times
0x005db8bc called 12 times
0x005f0390 called 12 times
0x0060ce9c called 12 times
0x00633518 called 12 times
0x00634c34 called 12 times
0x006538c4 called 12 times
0x00654990 called 12 times
0x008213a0 called 12 times
0x0087caf0 called 12 times
0x008a1310 called 12 times
0x008a3354 called 12 times
0x008ddd3c called 12 times
0x0096f228 called 12 times
0x0098aa8c called 12 times
0x009b7588 called 12 times
0x00d88360 called 12 times
0x009e746c called 12 times
0x00a03260 called 12 times
0x00a0535c called 12 times
0x00a1b7b4 called 12 times
0x00a27968 called 12 times
0x00a61354 called 12 times
0x00b4b530 called 12 times
0x00c667f0 called 12 times
0x00cc1f50 called 12 times
0x00d008d4 called 12 times
0x00da74c0 called 12 times
0x00edb7a8 called 12 times
0x00f83808 called 11 times
0x0096c024 called 11 times
0x0047a614 called 11 times
0x00ec3ae0 called 11 times
0x00937f60 called 11 times
0x0049d5c0 called 11 times
0x00efed2c called 11 times
0x0049ff88 called 11 times
0x004bdd5c called 11 times
0x004bbffc called 11 times
0x00f742bc called 11 times
0x00f83740 called 11 times
0x004d903c called 11 times
0x004dae28 called 11 times
0x004df870 called 11 times
0x004ec2cc called 11 times
0x004ed310 called 11 times
0x004f88e0 called 11 times
0x00467fe0 called 11 times
0x00508538 called 11 times
0x0050dfa0 called 11 times
0x00527528 called 11 times
0x005532fc called 11 times
0x0053a454 called 11 times
0x0053c164 called 11 times
0x00543554 called 11 times
0x00c6c488 called 11 times
0x0054fbcc called 11 times
0x00554858 called 11 times
0x0055bb3c called 11 times
0x0056d120 called 11 times
0x0058a168 called 11 times
0x0058eaac called 11 times
0x005eca28 called 11 times
0x005ec560 called 11 times
0x005d8b40 called 11 times
0x005ddb70 called 11 times
0x005fd738 called 11 times
0x00602f7c called 11 times
0x0060b9e0 called 11 times
0x00645e0c called 11 times
0x0065218c called 11 times
0x0065eec4 called 11 times
0x0067a698 called 11 times
0x0068126c called 11 times
0x0066b704 called 11 times
0x0081e928 called 11 times
0x008462ac called 11 times
0x008492b4 called 11 times
0x008538dc called 11 times
0x00897bcc called 11 times
0x0063586c called 11 times
0x004c7c6c called 11 times
0x00f7de38 called 11 times
0x00961e2c called 11 times
0x0097aae0 called 11 times
0x00980c0c called 11 times
0x00985578 called 11 times
0x009bdd34 called 11 times
0x009d9e88 called 11 times
0x00a143fc called 11 times
0x00a31400 called 11 times
0x00a59b1c called 11 times
0x00a8eaac called 11 times
0x00aa556c called 11 times
0x00ae1aac called 11 times
0x00b4c800 called 11 times
0x00c06894 called 11 times
0x00c67900 called 11 times
0x00cb25dc called 11 times
0x00ed83c8 called 11 times
0x0046864c called 10 times
0x0046f1d4 called 10 times
0x00472654 called 10 times
0x00922d2c called 10 times
0x00483748 called 10 times
0x0058b068 called 10 times
0x004862e8 called 10 times
0x00f3b754 called 10 times
0x00490958 called 10 times
0x0049d988 called 10 times
0x0046d4c0 called 10 times
0x0049f93c called 10 times
0x0049fcb4 called 10 times
0x00d95524 called 10 times
0x004bff4c called 10 times
0x004ce33c called 10 times
0x004d52a8 called 10 times
0x004e8634 called 10 times
0x004e5810 called 10 times
0x004ee08c called 10 times
0x004ff988 called 10 times
0x00f7d224 called 10 times
0x004eb3b0 called 10 times
0x0050f4bc called 10 times
0x0051d024 called 10 times
0x0051e688 called 10 times
0x0051e6f0 called 10 times
0x0051f5f0 called 10 times
0x0051f560 called 10 times
0x00520998 called 10 times
0x00522804 called 10 times
0x0052bd6c called 10 times
0x00536b98 called 10 times
0x00553370 called 10 times
0x0053bbe4 called 10 times
0x0053bab4 called 10 times
0x0054a1e8 called 10 times
0x00c6c3a8 called 10 times
0x005509ac called 10 times
0x0055f60c called 10 times
0x00563a0c called 10 times
0x005741bc called 10 times
0x00ed5acc called 10 times
0x0058ec94 called 10 times
0x00f22ebc called 10 times
0x004ae658 called 10 times
0x005a9258 called 10 times
0x005afb5c called 10 times
0x005b04a0 called 10 times
0x005cb778 called 10 times
0x005e8e58 called 10 times
0x005dc884 called 10 times
0x005fa8c4 called 10 times
0x0061f01c called 10 times
0x006450b8 called 10 times
0x00651b58 called 10 times
0x00652048 called 10 times
0x006573b4 called 10 times
0x006584e8 called 10 times
0x0065d9c0 called 10 times
0x00660a08 called 10 times
0x006693bc called 10 times
0x006890e0 called 10 times
0x0069efa4 called 10 times
0x008136fc called 10 times
0x0083bc78 called 10 times
0x00f82da8 called 10 times
0x008ddcc4 called 10 times
0x009264c0 called 10 times
0x00f83c58 called 10 times
0x00991a90 called 10 times
0x00997614 called 10 times
0x009adba8 called 10 times
0x009bc7c8 called 10 times
0x009c9960 called 10 times
0x009de770 called 10 times
0x00a12b20 called 10 times
0x00a17880 called 10 times
0x00a22094 called 10 times
